Rs(GBu),NumCh,BCh(GHz),Lspan(KM),Ptx(dBm),CutNumCh,ChDistCutCen,TotCongLSP(%),RHEffecIdle,LHEffecIdle,RHCongLSP(%),RFirstIdle,LHCongLSP(%),LFirstIdle,PowNli(dB),PowAse(dB),SnrLink(dB)
32,117,3.2e+07,115,-2.5,46,13,11.111,3,1,12.676,12,6.6667,22,-74.523,-51.778,19.255
96,45,9.6e+07,105,-3,22,1,13.333,1,0,8.6957,3,14.286,14,-82.245,-49.284,16.282
32,117,3.2e+07,80,-3.5,19,40,11.111,3,3,9.1837,4,16.667,1,-76.026,-59.779,26.177
32,117,3.2e+07,115,-1,52,7,11.111,0,4,6.1538,30,15.686,2,-69.049,-51.778,20.697
96,45,9.6e+07,100,-0.5,45,22,13.333,0,2,0,0,11.364,7,-74.851,-50.424,19.908
32,117,3.2e+07,55,3.5,45,14,11.111,3,4,8.3333,1,13.636,6,-55.78,-65.639,28.853
32,117,3.2e+07,120,1.5,2,57,11.111,1,0,10.435,17,0,0,-62.821,-50.64,21.885
64,59,6.4e+07,105,1.5,57,27,11.864,0,2,0,0,10.714,8,-66.384,-51.045,22.419
96,45,9.6e+07,75,3,15,8,13.333,0,2,10,15,14.286,6,-64.451,-56.163,28.562
96,45,9.6e+07,115,-0.5,26,3,13.333,1,1,10.526,2,12,7,-74.531,-47.006,16.499
96,45,9.6e+07,95,-1.5,6,17,13.333,3,0,12.821,0,0,0,-76.944,-51.566,20.054
96,45,9.6e+07,75,1.5,7,16,13.333,1,1,10.526,10,16.667,0,-68.109,-56.163,27.394
32,117,3.2e+07,50,4,112,53,11.111,0,4,0,0,10.811,2,-55.061,-66.852,28.783
96,45,9.6e+07,55,-4,40,17,13.333,0,1,0,0,12.821,7,-85.929,-60.868,26.854
96,45,9.6e+07,80,4.5,23,0,13.333,2,2,13.636,6,9.0909,3,-59.635,-55.008,28.222
64,59,6.4e+07,100,-4.5,55,25,11.864,0,1,0,0,11.111,1,-83.944,-52.185,17.682
64,59,6.4e+07,70,2,44,14,11.864,1,1,6.6667,11,11.628,2,-64.745,-59.085,30.041
96,45,9.6e+07,85,4.5,39,16,13.333,2,2,33.333,1,7.8947,0,-58.333,-53.857,27.032
64,59,6.4e+07,85,-5,10,20,11.864,2,1,10.204,0,11.111,8,-84.806,-55.618,20.613
96,45,9.6e+07,100,3,24,1,13.333,2,2,9.5238,6,13.043,5,-64.152,-50.424,23.244
32,117,3.2e+07,50,4,93,34,11.111,1,5,4.1667,22,11.957,3,-54.79,-66.852,28.528
96,45,9.6e+07,50,-4,38,15,13.333,1,3,14.286,4,10.811,2,-85.477,-62.081,28.061
96,45,9.6e+07,70,-2.5,38,15,13.333,0,0,0,0,13.514,18,-81.234,-57.324,24.806
32,117,3.2e+07,120,0,3,56,11.111,2,0,10.526,16,0,0,-67.219,-50.64,20.546
96,45,9.6e+07,65,-1.5,4,19,11.111,0,0,9.7561,12,0,0,-78.259,-58.494,26.948
96,45,9.6e+07,85,5,29,6,13.333,1,1,12.5,5,10.714,11,-58.356,-53.857,27.538
32,117,3.2e+07,120,4.5,49,10,10.256,1,1,7.3529,0,12.5,5,-51.885,-50.64,22.708
64,59,6.4e+07,75,-4,16,14,10.169,2,2,6.9767,3,13.333,3,-82.521,-57.924,23.909
96,45,9.6e+07,115,0.5,36,13,13.333,0,2,0,0,14.286,3,-71.732,-47.006,17.492
96,45,9.6e+07,105,-2.5,18,5,13.333,2,2,11.111,7,11.765,3,-80.543,-49.284,16.78
96,45,9.6e+07,120,4.5,17,6,13.333,1,1,10.714,6,12.5,2,-59.516,-45.869,20.185
64,59,6.4e+07,85,2,6,24,11.864,1,0,11.321,6,0,0,-64.901,-55.618,27.134
96,45,9.6e+07,110,4,28,5,13.333,1,2,11.765,3,11.111,8,-61.127,-48.145,21.931
96,45,9.6e+07,50,-1,36,13,13.333,2,1,22.222,4,8.5714,4,-76.716,-62.081,30.934
96,45,9.6e+07,90,1.5,4,19,11.111,2,1,7.3171,2,33.333,2,-68.396,-52.71,24.094
32,117,3.2e+07,90,-1.5,35,24,11.111,1,4,7.3171,18,17.647,1,-70.538,-57.481,25.772
64,59,6.4e+07,90,4.5,18,12,11.864,2,2,9.7561,3,11.765,0,-55.966,-54.471,26.644
96,45,9.6e+07,95,-3.5,31,8,13.333,1,1,7.1429,4,13.333,4,-83.683,-51.566,18.063
64,59,6.4e+07,95,-1.5,44,14,11.864,1,1,6.6667,0,11.628,7,-74.327,-53.327,21.793
96,45,9.6e+07,50,1.5,11,12,13.333,3,0,14.706,0,0,0,-68.378,-62.081,32.666
96,45,9.6e+07,85,4,39,16,13.333,1,1,16.667,5,10.526,3,-61.216,-53.857,27.125
64,59,6.4e+07,105,2.5,16,14,11.864,0,4,4.6512,24,26.667,2,-62.883,-51.045,23.269
64,59,6.4e+07,120,0.5,22,8,11.864,1,2,8.1081,4,14.286,5,-69.009,-47.63,18.098
